ID1,ID,Province,DISTRICT,LONGITUDE,LATITUDE,ELEVATION,UPDATED,NAMEOFFACI,OWNERSHIP,YEARBUILT,TYPEOFFACI
1,29,Matebeleland South,Beitbridge,29.98760986,-22.20458,0,1998,Beitbridge,2,0,District Hospital
2,83,Matebeleland South,Beitbridge,29.60194016,-21.60719,0,1998,Chamunangana,5,0,Clinic
3,93,Matebeleland South,Beitbridge,30.50114059,-22.05558,0,1998,Chasvingo,5,0,Clinic
4,136,Matebeleland South,Beitbridge,31.09124947,-22.31725,0,1998,Chikwarakwara,4,0,Rural Health Centre
5,218,Matebeleland South,Beitbridge,30.7875309,-22.20064,0,1998,Chituripasi,6,0,Rural Health Centre
6,282,Matebeleland South,Beitbridge,30.39002991,-22.22214,0,1998,Dite,6,0,Rural Health Centre
7,300,Matebeleland South,Beitbridge,29.98372078,-22.20681,0,1998,Dulibadzimu,5,0,Clinic
8,566,Matebeleland South,Beitbridge,29.69067001,-21.50331,0,1998,Majini,6,0,Rural Health Centre
9,568,Matebeleland South,Beitbridge,29.93680954,-22.13792,0,1998,Makakabule,6,0,Rural Health Centre
10,1183,Matebeleland South,Beitbridge,29.50341988,-21.62461,0,1998,Zezane,5,0,Clinic
11,1203,Matebeleland South,Beitbridge,30.0051899,-22.21992,0,1998,ZRP,5,0,Clinic
12,620,Matebeleland South,Beitbridge,29.58650017,-21.93431,0,1998,Masera,5,0,Clinic
13,861,Matebeleland South,Beitbridge,29.63697052,-22.12217,0,1998,Nottingham,6,0,Rural Health Centre
14,863,Matebeleland South,Beitbridge,30.00781059,-22.22078,0,1998,NRZ,5,0,Clinic
15,962,Matebeleland South,Beitbridge,29.98527908,-22.22269,0,1998,Prison,5,0,Clinic
16,1037,Matebeleland South,Beitbridge,30.22278023,-22.10489,0,1998,Shabwe,6,0,Rural Health Centre
17,1045,Matebeleland South,Beitbridge,29.32243919,-22.10292,0,1998,Shashe,5,0,Clinic
18,1113,Matebeleland South,Beitbridge,29.40386009,-21.87125,0,1998,Swereki,5,0,Clinic
19,1129,Matebeleland South,Beitbridge,30.04042053,-21.93567,0,1998,Tongwe,5,0,Clinic
20,1261,Matebeleland South,Beitbridge,29.9283,-21.99529,513,2007,Mtetengwe,5,2006,Clinic
21,1262,Matebeleland South,Beitbridge,29.86923,-21.7345,591,2007,Mazunga,5,0,Clinic(Not Open)
22,1263,Matebeleland South,Beitbridge,30.5491,-21.90371,550,2007,Makombe,8,2006,Clinic (construction)
23,40,Masvingo,Bikita,31.60647011,-20.06703,0,1998,Bikita,4,0,Rural Hospital
24,131,Masvingo,Bikita,31.86856079,-20.0005,0,1998,Chikuku,5,0,Clinic
25,190,Masvingo,Bikita,31.91802979,-19.88528,0,1998,Chirorwe,5,0,Clinic
26,203,Masvingo,Bikita,31.85453033,-20.20817,0,1998,Chitasa,5,0,Clinic
27,276,Masvingo,Bikita,32.12055969,-19.95322,0,1998,Devure 1,5,0,Clinic
28,421,Masvingo,Bikita,31.53725052,-20.05172,0,1998,Hozvi,5,0,Clinic
29,609,Masvingo,Bikita,31.52099991,-20.00053,0,1998,Marozva,5,0,Clinic
30,623,Masvingo,Bikita,31.75057983,-20.50519,0,1998,Mashoko,4,0,Hospital
31,690,Masvingo,Bikita,31.72113991,-20.43703,0,1998,Mkanga,4,0,Rural Hospital
32,769,Masvingo,Bikita,31.65306091,-19.94133,0,1998,Murwira,5,0,Clinic
33,842,Masvingo,Bikita,31.68431091,-20.28881,0,1998,Ngorima,5,0,Clinic
34,931,Masvingo,Bikita,31.58885956,-20.00586,0,1998,Nyika,6,0,Rural Health Centre
35,940,Masvingo,Bikita,31.85753059,-20.42022,0,1998,Odzi,5,0,Clinic
36,955,Masvingo,Bikita,31.61775017,-20.18919,0,1998,Pfupajena,5,0,Clinic
37,1068,Masvingo,Bikita,31.68678093,-20.02347,0,1998,Silveira,3,0,Mission Hospital
38,1326,Masvingo,Bikita,31.84224,-20.14081,0,2007,Mukore,6,1993,Rural Health Centre
39,1327,Masvingo,Bikita,31.71084,-20.20992,0,2007,Mutikizizi,6,1999,Rural Health Centre
40,1378,Masvingo,Bikita,31.81698,-19.9153,0,2007,Gangare,6,1999,Rural Health Centre
41,1320,Masvingo,Bikita,31.42301,-19.95815,0,2007,Masarasa,7,1963,Clinic
42,1321,Masvingo,Bikita,31.52096,-19.91393,0,2007,Mungezi,5,1995,Rural Health Centre
