name,city,neighborhood,priority,description_hint
Borrowdale,Harare,Borrowdale,1,Upscale residential area with shopping malls and diplomatic missions
Avondale,Harare,Avondale,2,Leafy suburb with cafes restaurants and boutique shops
Mount Pleasant,Harare,Mount Pleasant,3,Established residential area with schools and shopping centers
Ballantyne Park,Harare,Ballantyne Park,4,Quiet suburb with parks and family-friendly atmosphere
Highlands,Harare,Highlands,5,Elevated suburb with scenic views and modern homes
Eastlea,Harare,Eastlea,6,Central suburb near CBD with mix of residential and commercial
Greendale,Harare,Greendale,7,Mature suburb with large stands and established gardens
Marlborough,Harare,Marlborough,8,Residential area with good schools and proximity to industrial areas
Belvedere,Harare,Belvedere,9,Established suburb with tree-lined streets
Mabelreign,Harare,Mabelreign,10,Central suburb with good transport links and amenities
Newlands,Harare,Newlands,11,Residential area near shopping centers and schools
Alexandra Park,Harare,Alexandra Park,12,Central suburb with sports facilities and parks
Cranborne,Harare,Cranborne,13,Growing suburb with modern developments
Glen Lorne,Harare,Glen Lorne,14,Premium suburb with large properties and country club
Gunhill,Harare,Gunhill,15,Residential suburb with schools and shopping
Greystone Park,Harare,Greystone Park,16,Quiet residential area popular with families
Hatfield,Harare,Hatfield,17,Student-friendly suburb near University of Zimbabwe
Kuwadzana,Harare,Kuwadzana,18,High-density suburb with active community
Mbare,Harare,Mbare,19,Historic township near main transport hub and market
Warren Park,Harare,Warren Park,20,Established high-density suburb with good amenities
Waterfalls,Harare,Waterfalls,21,Industrial area with nearby residential zones
Budiriro,Harare,Budiriro,22,Large high-density suburb with schools and clinics
Glen View,Harare,Glen View,23,Growing suburb with mix of residential types
Dzivarasekwa,Harare,Dzivarasekwa,24,High-density area with community facilities
Chitungwiza,Harare,Chitungwiza,25,Large dormitory town south of Harare
Epworth,Harare,Epworth,26,Peri-urban settlement with growing infrastructure
Greendale North,Harare,Greendale North,27,Residential area adjacent to Greendale
Milton Park,Harare,Milton Park,28,Central location near hospitals and schools
Riverside,Harare,Riverside,29,Suburb along Mukuvisi River with recreational areas
Tynwald,Harare,Tynwald,30,Residential suburb with shopping centers nearby
Bulawayo CBD,Bulawayo,Central Business District,31,Commercial heart of Bulawayo with offices and shops
Hillside,Bulawayo,Hillside,32,Upscale Bulawayo suburb with views
Suburbs,Bulawayo,Suburbs,33,Established residential area in Bulawayo
Northend,Bulawayo,Northend,34,Historic Bulawayo suburb with colonial architecture
Matsheumhlope,Bulawayo,Matsheumhlope,35,Residential area in northern Bulawayo
Khwalu,Beitbridge,Khwalu,36,
Khwalu 1,Beitbridge,Khwalu 1,37,
Khwalu 2,Beitbridge,Khwalu 2,38,
Mabhidi,Beitbridge,Mabhidi,39,
Madinginye,Beitbridge,Madinginye,40,
Matibe,Beitbridge,Matibe,41,
Milayo,Beitbridge,Milayo,42,
Siyoka,Beitbridge,Siyoka,43,
Tshidixhwa,Beitbridge,Tshidixhwa,44,
Vhembe Heights,Beitbridge,Vhembe Heights,45,
Chipadze,Bindura,Chipadze,46,
Ascot,Bulawayo,Ascot,47,
Barbour Fields,Bulawayo,Barbour Fields,48,
Bradfield,Bulawayo,Bradfield,49,
Burnside,Bulawayo,Burnside,50,
Cowdray Park,Bulawayo,Cowdray Park,51,
Emakhandeni,Bulawayo,Emakhandeni,52,
Emganwini,Bulawayo,Emganwini,53,
Emhlangeni,Bulawayo,Emhlangeni,54,
Fourwinds,Bulawayo,Fourwinds,55,
Gwabalanda,Bulawayo,Gwabalanda,56,
Ilanda Gardens,Bulawayo,Ilanda Gardens,57,
Kenilworth,Bulawayo,Kenilworth,58,
Khumalo,Bulawayo,Khumalo,59,
Killarney,Bulawayo,Killarney,60,
Kusile Flats,Bulawayo,Kusile Flats,61,
Lochview,Bulawayo,Lochview,62,
Luveve,Bulawayo,Luveve,63,
Magwegwe,Bulawayo,Magwegwe,64,
Mahatshula,Bulawayo,Mahatshula,65,
Mahatshula East,Bulawayo,Mahatshula East,66,
Mahatshula South,Bulawayo,Mahatshula South,67,
Makokoba,Bulawayo,Makokoba,68,
Malindela,Bulawayo,Malindela,69,
Montrose,Bulawayo,Montrose,70,
Morningside,Bulawayo,Morningside,71,
Mpopoma,Bulawayo,Mpopoma,72,
Mzilikazi,Bulawayo,Mzilikazi,73,
Nguboyenja,Bulawayo,Nguboyenja,74,
Njube,Bulawayo,Njube,75,
Nketa,Bulawayo,Nketa,76,
Nketa 7,Bulawayo,Nketa 7,77,
Nkulumane,Bulawayo,Nkulumane,78,
Northlea,Bulawayo,Northlea,79,
Parklands,Bulawayo,Parklands,80,
Parklands Extension,Bulawayo,Parklands Extension,81,
Parkview,Bulawayo,Parkview,82,
Pumula,Bulawayo,Pumula,83,
Pumula North,Bulawayo,Pumula North,84,
Pumula South,Bulawayo,Pumula South,85,
Queens Park East,Bulawayo,Queens Park East,86,
Queens Park West,Bulawayo,Queens Park West,87,
Romney Park,Bulawayo,Romney Park,88,
Sauerstown,Bulawayo,Sauerstown,89,
Sizinda,Bulawayo,Sizinda,90,
Sunnyside,Bulawayo,Sunnyside,91,
Tegela,Bulawayo,Tegela,92,
Thorngrove,Bulawayo,Thorngrove,93,
Tshabalala,Bulawayo,Tshabalala,94,
Woodlands,Bulawayo,Woodlands,95,
Heros,Chegutu,Heros,96,
Umvovo,Chegutu,Umvovo,97,
ZMDC,Chegutu,ZMDC,98,
Brundish,Chinhoyi,Brundish,99,
CBD,Chinhoyi,CBD,100,
Cherima,Chinhoyi,Cherima,101,
Chikonohono,Chinhoyi,Chikonohono,102,
Chitambo,Chinhoyi,Chitambo,103,
Cold Stream,Chinhoyi,Cold Stream,104,
Federation,Chinhoyi,Federation,105,
Gadzema,Chinhoyi,Gadzema,106,
Hunyani,Chinhoyi,Hunyani,107,
Katanda,Chinhoyi,Katanda,108,
Mapako,Chinhoyi,Mapako,109,
Mpata,Chinhoyi,Mpata,110,
Mzari,Chinhoyi,Mzari,111,
Orange Grove,Chinhoyi,Orange Grove,112,
Rujeko,Chinhoyi,Rujeko,113,
Rusununguko,Chinhoyi,Rusununguko,114,
Ruvimbo,Chinhoyi,Ruvimbo,115,
White City,Chinhoyi,White City,116,
Mapfungautsi,Gokwe,Mapfungautsi,117,
Garikai/Hlalani Kuhle,Gwanda,Garikai/Hlalani Kuhle,118,
Jacaranda Suburbs,Gwanda,Jacaranda Suburbs,119,
ku Hump,Gwanda,ku Hump,120,
Mt Cazalette Suburbs,Gwanda,Mt Cazalette Suburbs,121,
Spitzkop,Gwanda,Spitzkop,122,
Mkoba,Gweru,Mkoba,123,
Mkoba 14,Gweru,Mkoba 14,124,
Mkoba 18,Gweru,Mkoba 18,125,
Mkoba 19,Gweru,Mkoba 19,126,
Mkoba 3,Gweru,Mkoba 3,127,
Mtapa,Gweru,Mtapa,128,
Senga,Gweru,Senga,129,
Southdown,Gweru,Southdown,130,
Arundel,Harare,Arundel,131,
Avondale West,Harare,Avondale West,132,
Bluff Hill,Harare,Bluff Hill,133,
Braeside,Harare,Braeside,134,
Caledonia,Harare,Caledonia,135,
Carrick Creagh Villas,Harare,Carrick Creagh Villas,136,
Chinamano,Harare,Chinamano,137,
Chinamano Extension,Harare,Chinamano Extension,138,
Chisipite,Harare,Chisipite,139,
Chizhanje,Harare,Chizhanje,140,
Cold Comfort,Harare,Cold Comfort,141,
Damofalls Park,Harare,Damofalls Park,142,
Domboramwari,Harare,Domboramwari,143,
Dzivarasekwa Section 2,Harare,Dzivarasekwa Section 2,144,
Dzivarasekwa Section 3,Harare,Dzivarasekwa Section 3,145,
Eyestone Park,Harare,Eyestone Park,146,
Fairview Park,Harare,Fairview Park,147,
Glen Forest,Harare,Glen Forest,148,
Glen Norah,Harare,Glen Norah,149,
Glen Norah A,Harare,Glen Norah A,150,
Glen Norah B,Harare,Glen Norah B,151,
Glen Norah C,Harare,Glen Norah C,152,
Glenwood,Harare,Glenwood,153,
Glenwood Park,Harare,Glenwood Park,154,
Hatcliffe,Harare,Hatcliffe,155,
Highfield,Harare,Highfield,156,
Hopley,Harare,Hopley,157,
Jacha,Harare,Jacha,158,
Kambuzuma,Harare,Kambuzuma,159,
Kuwdzana Phase 3,Harare,Kuwdzana Phase 3,160,
Lewisam,Harare,Lewisam,161,
Mabvuku,Harare,Mabvuku,162,
Madamba,Harare,Madamba,163,
Magada,Harare,Magada,164,
Makomo,Harare,Makomo,165,
Makomo Extension,Harare,Makomo Extension,166,
Mandara,Harare,Mandara,167,
Matapi,Harare,Matapi,168,
Monavale,Harare,Monavale,169,
Msasa Park,Harare,Msasa Park,170,
Mufakose,Harare,Mufakose,171,
Muguta,Harare,Muguta,172,
Muguta Extension,Harare,Muguta Extension,173,
New Zengeza 4,Harare,New Zengeza 4,174,
Northwood,Harare,Northwood,175,
Nyikavanhu,Harare,Nyikavanhu,176,
